Principle number,Principle,Indian Position,Remarks,Sub-heading,Topic,number_of_words_Principle,number_of_words_Indian_Position,Pattern_Removed_Principle,Pattern_Removed_Indian_Position,Stopwords_Removed_Principle,Stopwords_Removed_Indian_Position,number_of_words_stopwords_removed_Principle,number_of_words_stopwords_removed_Indian_Position
2.6.3,"In addition, information should be provided about the qualifications and experience of the board and senior executives. This information may be helpful in assessing how an institution may perform in times of stress or how it may react to changes in the economic or competitive environment.",Information on qualifications and experience of the board and senior executives are being furnished.,Do,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,46,14,"In addition, information should be provided about the qualifications and experience of the board and senior executives. This information may be helpful in assessing how an institution may perform in times of stress or how it may react to changes in the economic or competitive environment.",Information on qualifications and experience of the board and senior executives are being furnished.,"In addition, information should provided about qualifications and experience board and senior executives. This information may helpful assessing how institution may perform times stress or how may react changes economic or competitive environment.",Information on qualifications and experience board and senior executives being furnished.,33,11
2.6.4,"Information about the incentive structure within a bank, including its remuneration policies, such as the amount of executive compensation and the use of performance bonuses and stock options, helps evaluate the incentives management and staff have to take excessive risks.","Information on incentive structure within a bank, remuneration policies, the use of performance bonuses and stock options are not given.",Do,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,40,20,"Information about the incentive structure within a bank, including its remuneration policies, such as the amount of executive compensation and the use of performance bonuses and stock options, helps evaluate the incentives management and staff have to take excessive risks.","Information on incentive structure within a bank, remuneration policies, the use of performance bonuses and stock options are not given.","Information about incentive structure within bank, including its remuneration policies, as amount executive compensation and use performance bonuses and stock options, helps evaluate incentives management and staff have take excessive risks.","Information on incentive structure within bank, remuneration policies, use performance bonuses and stock options not given.",31,16
2.6.5,"Useful information may include a summary discussion of the philosophy and policy for executive and staff compensation, the role of the board of directors in setting compensation, and compensation amounts.","Summary discussion of the philosophy and policy of executive and staff compensation, the role of the board in setting compensation are not provided.",Do,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,30,23,"Useful information may include a summary discussion of the philosophy and policy for executive and staff compensation, the role of the board of directors in setting compensation, and compensation amounts.","Summary discussion of the philosophy and policy of executive and staff compensation, the role of the board in setting compensation are not provided.","Useful information may include summary discussion philosophy and policy executive and staff compensation, role board directors setting compensation, and compensation amounts.","Summary discussion philosophy and policy executive and staff compensation, role board setting compensation not provided.",21,15
2.6.6,"In addition, banks should provide information on the nature and extent of transactions with affiliates and related parties. Such information is useful in identifying relationships that may have a positive or negative impact on a bank’s financial position and performance. Further, it can help assess its susceptibility to the effects of affiliates on the bank’s financial performance (contagion risk).",Nature and extent of transactions with affiliates and related parties are not disclosed.,Do,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,59,13,"In addition, banks should provide information on the nature and extent of transactions with affiliates and related parties. Such information is useful in identifying relationships that may have a positive or negative impact on a bank’s financial position and performance. Further, it can help assess its susceptibility to the effects of affiliates on the bank’s financial performance.",Nature and extent of transactions with affiliates and related parties are not disclosed.,"In addition, banks should provide information on nature and extent transactions with affiliates and related parties. Such information useful identifying relationships that may have positive or negative impact on bank’s financial position and performance. Further, can help assess its susceptibility effects affiliates on bank’s financial performance.",Nature and extent transactions with affiliates and related parties not disclosed.,46,11
2.6.7,"Finally, institutions should consider providing general information that would help market participants and supervisors gain a broad understanding of the institution’s culture. As indicated previously, banks should be innovative in identifying the types of information they provide and the methods by which they provide such data.",General information on the institution’s culture is provided by some banks in the annual report as part of management discussion/ report.,Do,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,46,21,"Finally, institutions should consider providing general information that would help market participants and supervisors gain a broad understanding of the institution’s culture. As indicated previously, banks should be innovative in identifying the types of information they provide and the methods by which they provide such data.",General information on the institution’s culture is provided by some banks in the annual report as part of management discussion/ report.,"Finally, institutions should consider providing general information that would help market participants and supervisors gain broad understanding institution’s culture. As indicated previously, banks should innovative identifying types information they provide and methods they provide data.",General information on institution’s culture provided some banks annual report as part management discussion/ report.,35,15
2.6.8,"Supervisors and public policy makers should focus their efforts on promoting high-quality disclosure standards, taking into consideration the recommendations presented in this paper, and on developing mechanisms that ensure compliance with those standards.",RBI and government are very focussed in their efforts on promoting high quality disclosure standards.,"The progress shall have to be gradual but sustained. While there will be some key disclosures which must find place in balance sheet of all banks as prescribed by RBI, individual banks should be encouraged to make additional disclosures which they consider relevant to their business and balance sheet.","2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,33,15,"Supervisors and public policy makers should focus their efforts on promoting high-quality disclosure standards, taking into consideration the recommendations presented in this paper, and on developing mechanisms that ensure compliance with those standards.",RBI and government are very focussed in their efforts on promoting high quality disclosure standards.,"Supervisors and public policy makers should focus their efforts on promoting high-quality disclosure standards, taking into consideration recommendations presented this paper, and on developing mechanisms that ensure compliance with standards.",RBI and government very focussed their efforts on promoting high quality disclosure standards.,30,13
1,Disclosures in a bank’s annual financial reports should be adapted to the size and nature of the bank’s operations in accordance with the materiality concept.,"As of now, the disclosure requirements are uniform irrespective of the size of banks’ operations.",,,Best Practices for Credit Risk Disclosure,25,15,Disclosures in a bank’s annual financial reports should be adapted to the size and nature of the bank’s operations in accordance with the materiality concept.,"As of now, the disclosure requirements are uniform irrespective of the size of banks’ operations.",Disclosures bank’s annual financial reports should adapted size and nature bank’s operations accordance with materiality concept.,"As now, disclosure requirements uniform irrespective size banks’ operations.",16,9
2,"A bank should disclose information about the accounting policies, practices and methods it uses to account for its credit risk exposures.","Banks disclose information regarding the level of non-performing assets. These are required to be in compliance with the guidelines set out by the RBI. Banks are, however, free to adopt a more prudent approach, in which case, these do find mention in the balance sheets.",,,Best Practices for Credit Risk Disclosure,21,45,"A bank should disclose information about the accounting policies, practices and methods it uses to account for its credit risk exposures.","Banks disclose information regarding the level of non-performing assets. These are required to be in compliance with the guidelines set out by the RBI. Banks are, however, free to adopt a more prudent approach, in which case, these do find mention in the balance sheets.","A bank should disclose information about accounting policies, practices and methods uses account its credit risk exposures.","Banks disclose information regarding level non-performing assets. These required compliance with guidelines set out RBI. Banks are, however, free adopt more prudent approach, case, these do find mention balance sheets.",17,30
3,"A bank should disclose information on the accounting policies and methods it uses to determine specific and general allowances, and it should explain the key assumptions it uses.","This is generally mandated by the regulator. The banks are, however, free to adopt a stricter policy in regard to methods it uses for determining allowances. A policy which deviates from the guideline given by the regulator is generally made public.",,,Best Practices for Credit Risk Disclosure,28,41,"A bank should disclose information on the accounting policies and methods it uses to determine specific and general allowances, and it should explain the key assumptions it uses.","This is generally mandated by the regulator. The banks are, however, free to adopt a stricter policy in regard to methods it uses for determining allowances. A policy which deviates from the guideline given by the regulator is generally made public.","A bank should disclose information on accounting policies and methods uses determine specific and general allowances, and should explain key assumptions uses.","This generally mandated regulator. The banks are, however, free adopt stricter policy regard methods uses determining allowances. A policy deviates from guideline given regulator generally made public.",22,27
4,A bank should disclose qualitative information about the nature of credit risk in its activities and describe how credit risk arises in those activities.,This is not being provided as of now.,,,Best Practices for Credit Risk Disclosure,24,8,A bank should disclose qualitative information about the nature of credit risk in its activities and describe how credit risk arises in those activities.,This is not being provided as of now.,A bank should disclose qualitative information about nature credit risk its activities and describe how credit risk arises activities.,This not being provided as now.,19,6
5,"A bank should disclose information on the management, structure and organisation of its credit risk management function.",--do--,,,Best Practices for Credit Risk Disclosure,17,1,"A bank should disclose information on the management, structure and organisation of its credit risk management function.",--do--,"A bank should disclose information on management, structure and organisation its credit risk management function.",--do--,15,1
6,A bank should disclose qualitative information on its credit risk management and control policies and practices.,--do--,,,Best Practices for Credit Risk Disclosure,16,1,A bank should disclose qualitative information on its credit risk management and control policies and practices.,--do--,A bank should disclose qualitative information on its credit risk management and control policies and practices.,--do--,16,1
7,A bank should disclose information on its techniques and methods for managing past due and impaired assets.,--do--,,,Best Practices for Credit Risk Disclosure,17,1,A bank should disclose information on its techniques and methods for managing past due and impaired assets.,--do--,A bank should disclose information on its techniques and methods managing past due and impaired assets.,--do--,16,1
8,A bank should provide information on its use of credit scoring and portfolio credit risk measurement models,--do--,,,Best Practices for Credit Risk Disclosure,17,1,A bank should provide information on its use of credit scoring and portfolio credit risk measurement models,--do--,A bank should provide information on its use credit scoring and portfolio credit risk measurement models,--do--,16,1
9,"A bank should disclose balances of credit exposures, including current exposure and, where applicable, future potential exposure, by major categories.",--do--,,,Best Practices for Credit Risk Disclosure,20,1,"A bank should disclose balances of credit exposures, including current exposure and, where applicable, future potential exposure, by major categories.",--do--,"A bank should disclose balances credit exposures, including current exposure and, where applicable, future potential exposure, major categories.",--do--,18,1
10,A bank should disclose information about credit exposure by business line.,"Business line-wise exposure is not being disclosed. However, exposure to sensitive sectors such as real estate and capital markets are being disclosed. Banks also disclose the extent of lending to the priority sector.",,,Best Practices for Credit Risk Disclosure,11,33,A bank should disclose information about credit exposure by business line.,"Business line-wise exposure is not being disclosed. However, exposure to sensitive sectors such as real estate and capital markets are being disclosed. Banks also disclose the extent of lending to the priority sector.",A bank should disclose information about credit exposure business line.,"Business line-wise exposure not being disclosed. However, exposure sensitive sectors as real estate and capital markets being disclosed. Banks also disclose extent lending priority sector.",10,25
11,A bank should disclose information about credit exposures by major categories of counterparties.,--do--,,,Best Practices for Credit Risk Disclosure,13,1,A bank should disclose information about credit exposures by major categories of counterparties.,--do--,A bank should disclose information about credit exposures major categories counterparties.,--do--,11,1
12,A bank should disclose information about credit exposures by geographic areas.,--do--,,,Best Practices for Credit Risk Disclosure,11,1,A bank should disclose information about credit exposures by geographic areas.,--do--,A bank should disclose information about credit exposures geographic areas.,--do--,10,1
13,A bank should disclose information about significant concentrations of credit risk.,--do--,,,Best Practices for Credit Risk Disclosure,11,1,A bank should disclose information about significant concentrations of credit risk.,--do--,A bank should disclose information about significant concentrations credit risk.,--do--,10,1
14,"A bank should disclose the effect of credit risk mitigation techniques, including collateral, guarantees, credit insurance and legally enforceable netting arrangements.",--do--,,,Best Practices for Credit Risk Disclosure,21,1,"A bank should disclose the effect of credit risk mitigation techniques, including collateral, guarantees, credit insurance and legally enforceable netting arrangements.",--do--,"A bank should disclose effect credit risk mitigation techniques, including collateral, guarantees, credit insurance and legally enforceable netting arrangements.",--do--,19,1
15,A bank should disclose quantitative and qualitative information about its use of credit derivatives and other instruments that reallocate credit risk.,"Credit derivatives are yet to be introduced in the country. Information in respect of other credit mitigating instruments, such as securitisation, factoring and forfaiting, etc., are not disclosed in the balance sheets.",,,Best Practices for Credit Risk Disclosure,21,32,A bank should disclose quantitative and qualitative information about its use of credit derivatives and other instruments that reallocate credit risk.,"Credit derivatives are yet to be introduced in the country. Information in respect of other credit mitigating instruments, such as securitisation, factoring and forfaiting, etc., are not disclosed in the balance sheets.",A bank should disclose quantitative and qualitative information about its use credit derivatives and other instruments that reallocate credit risk.,"Credit derivatives yet introduced country. Information respect other credit mitigating instruments, as securitisation, factoring and forfaiting, etc., not disclosed balance sheets.",20,21
16,A bank should disclose quantitative and qualitative information about its securitisation activities,"This is not being provided as of now. However, securitisation is yet to pick up in the country in a big way and, as such, its effect is negligible as of now.",,,Best Practices for Credit Risk Disclosure,12,32,A bank should disclose quantitative and qualitative information about its securitisation activities,"This is not being provided as of now. However, securitisation is yet to pick up in the country in a big way and, as such, its effect is negligible as of now.",A bank should disclose quantitative and qualitative information about its securitisation activities,"This not being provided as now. However, securitisation yet pick up country big way and, as such, its effect negligible as now.",12,22
17,A bank should disclose summary information about its contractual obligations with respect to recourse arrangements and the expected losses under those arrangements.,This is not being done as of now.,,,Best Practices for Credit Risk Disclosure,22,8,A bank should disclose summary information about its contractual obligations with respect to recourse arrangements and the expected losses under those arrangements.,This is not being done as of now.,A bank should disclose summary information about its contractual obligations with respect recourse arrangements and expected losses under arrangements.,This not being done as now.,19,6
18,A bank should provide summary of information about its internal rating process and the internal credit ratings of its credit exposures.,--do--,,,Best Practices for Credit Risk Disclosure,21,1,A bank should provide summary of information about its internal rating process and the internal credit ratings of its credit exposures.,--do--,A bank should provide summary information about its internal rating process and internal credit ratings its credit exposures.,--do--,18,1
19,A bank should disclose total credit exposures by major asset category showing impaired and past due amounts relating to each category.,Banks disclose information in regard to their gross and net NPA position and changes in NPAs and provisions made during the year in the notes on account to the balance sheet.,,,Best Practices for Credit Risk Disclosure,21,31,A bank should disclose total credit exposures by major asset category showing impaired and past due amounts relating to each category.,Banks disclose information in regard to their gross and net NPA position and changes in NPAs and provisions made during the year in the notes on account to the balance sheet.,A bank should disclose total credit exposures major asset category showing impaired and past due amounts relating each category.,Banks disclose information regard their gross and net NPA position and changes NPAs and provisions made during year notes on account balance sheet.,19,23
20,"A bank should disclose the amounts of specific, general and other allowances. Where applicable, these allowances should be disclosed by major asset category.","While provisions made during the year are disclosed, these are not being classified by asset category. Cumulative provisions are not being disclosed.",,,Best Practices for Credit Risk Disclosure,23,22,"A bank should disclose the amounts of specific, general and other allowances. Where applicable, these allowances should be disclosed by major asset category.","While provisions made during the year are disclosed, these are not being classified by asset category. Cumulative provisions are not being disclosed.","A bank should disclose amounts specific, general and other allowances. Where applicable, these allowances should disclosed major asset category.","While provisions made during year disclosed, these not being classified asset category. Cumulative provisions not being disclosed.",19,17
21,A bank should disclose a reconciliation of changes in the allowances for credit impairment.,Banks disclose information in regard to their gross NPA position and changes in NPAs during the year and the amount of provisions held against the NPAs.,,,Best Practices for Credit Risk Disclosure,14,26,A bank should disclose a reconciliation of changes in the allowances for credit impairment.,Banks disclose information in regard to their gross NPA position and changes in NPAs during the year and the amount of provisions held against the NPAs.,A bank should disclose reconciliation changes allowances credit impairment.,Banks disclose information regard their gross NPA position and changes NPAs during year and amount provisions held against NPAs.,9,19
22,A bank should disclose credit exposures on which the accrual of interest or other contractual cash flows – in accordance with the terms of the original agreement – has ceased because of deterioration in credit quality,"As per current instructions, interest cannot be accrued in respect of NPAs.",,,Best Practices for Credit Risk Disclosure,36,12,A bank should disclose credit exposures on which the accrual of interest or other contractual cash flows – in accordance with the terms of the original agreement – has ceased because of deterioration in credit quality,"As per current instructions, interest cannot be accrued in respect of NPAs.",A bank should disclose credit exposures on accrual interest or other contractual cash flows – accordance with terms original agreement – ceased because deterioration credit quality,"As per current instructions, interest cannot accrued respect NPAs.",26,9
23,A bank should disclose summary information about credit exposures that have been restructured during the year.,This is being disclosed.,,,Best Practices for Credit Risk Disclosure,16,4,A bank should disclose summary information about credit exposures that have been restructured during the year.,This is being disclosed.,A bank should disclose summary information about credit exposures that have restructured during year.,This being disclosed.,14,3
24,"A bank should provide information on revenues, net earnings and return on assets.",This information is being disclosed.,,,Best Practices for Credit Risk Disclosure,13,5,"A bank should provide information on revenues, net earnings and return on assets.",This information is being disclosed.,"A bank should provide information on revenues, net earnings and return on assets.",This information being disclosed.,13,4
I.,"Acceptable capital adequacy measurement techniques should be designed to detect and provide for situations of double gearing, i.e., where the same capital is used simultaneously as a buffer against risk in two or more legal entities; proceeds in the form of equity, which can result in excess leverage;","The capital invested in subsidiaries (where banks’ holding is more than 50 per cent) is deducted from the Tier-I capital of the bank to avoid double gearing. However, other investments which are below 50 per cent are not deducted from the investing bank’s capital.","Consolidation of accounts and presentation of consolidated financial results of all group entities is still not essential under the generally accepted principles of accounting in India. The emergence of financial conglomerates with regulated entities engaged to a significant extent in atleast two out of the three activities of banking, insurance and securities business is rather recent. Principles and systems for their regulation as entities in a conglomerate and for coordination between the concerned different regulators are also to be developed as yet. Urgent attention would need to be paid to develop suitable mechanisms.",A. Capital Adequacy Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,48,44,"Acceptable capital adequacy measurement techniques should be designed to detect and provide for situations of double gearing, i.e., where the same capital is used simultaneously as a buffer against risk in two or more legal entities; proceeds in the form of equity, which can result in excess leverage;","The capital invested in subsidiaries is deducted from the Tier-I capital of the bank to avoid double gearing. However, other investments which are below 50 per cent are not deducted from the investing bank’s capital.","Acceptable capital adequacy measurement techniques should designed detect and provide situations double gearing, i.e., where same capital used simultaneously as buffer against risk two or more legal entities; proceeds form equity, can result excess leverage;","The capital invested subsidiaries deducted from Tier-I capital bank avoid double gearing. However, other investments below 50 per cent not deducted from investing bank’s capital.",35,25
II.,"Acceptable capital adequacy measurement techniques should be designed to Detect and provide for situations where a parent issues debt and downstream the proceeds in the form of equity, which can result in excessive leverage;","Such deduction would normally be possible by adopting group-wide capital adequacy measurement. In the absence of consolidated accounts, however, the effective leverage of a subsidiary (dependent) unit gets computed on solo basis only. Protection against the risk of excessive leverage is available on account of deduction of the parent body’s investment at face value from its regulatory capital.",,A. Capital Adequacy Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,34,58,"Acceptable capital adequacy measurement techniques should be designed to Detect and provide for situations where a parent issues debt and downstream the proceeds in the form of equity, which can result in excessive leverage;","Such deduction would normally be possible by adopting group-wide capital adequacy measurement. In the absence of consolidated accounts, however, the effective leverage of a subsidiary unit gets computed on solo basis only. Protection against the risk of excessive leverage is available on account of deduction of the parent body’s investment at face value from its regulatory capital.","Acceptable capital adequacy measurement techniques should designed Detect and provide situations where parent issues debt and downstream proceeds form equity, can result excessive leverage;","Such deduction would normally possible adopting group-wide capital adequacy measurement. In absence consolidated accounts, however, effective leverage subsidiary unit gets computed on solo basis only. Protection against risk excessive leverage available on account deduction parent body’s investment face value from its regulatory capital.",24,43
III.,"Acceptable capital adequacy measurement techniques should be designed to include a mechanism to detect and provide for the effects of double, multiple or excessive gearing through unregulated intermediate holding companies which have participation in dependants or affiliates engaged in financial activities.",At present there is no case of an unregulated entity (of a financial conglomerate) acting as the holding company of a bank or other regulated entities.,,A. Capital Adequacy Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,41,26,"Acceptable capital adequacy measurement techniques should be designed to include a mechanism to detect and provide for the effects of double, multiple or excessive gearing through unregulated intermediate holding companies which have participation in dependants or affiliates engaged in financial activities.",At present there is no case of an unregulated entity acting as the holding company of a bank or other regulated entities.,"Acceptable capital adequacy measurement techniques should designed include mechanism detect and provide effects double, multiple or excessive gearing through unregulated intermediate holding companies have participation dependants or affiliates engaged financial activities.",At present there no case unregulated entity acting as holding company bank or other regulated entities.,31,16
IV.,"Acceptable capital adequacy measurement techniques should be designed to include a mechanism to address the risks being accepted by unregulated entities within a financial conglomerate that are carrying out activities similar to the activities of entities regulated for solvency purposes (e.g., leasing, factoring, reinsurance)",-do-,,A. Capital Adequacy Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,44,1,Acceptable capital adequacy measurement techniques should be designed to include a mechanism to address the risks being accepted by unregulated entities within a financial conglomerate that are carrying out activities similar to the activities of entities regulated for solvency purposes,-do-,Acceptable capital adequacy measurement techniques should designed include mechanism address risks being accepted unregulated entities within financial conglomerate that carrying out activities similar activities entities regulated solvency purposes,-do-,28,1
V.,Acceptable capital adequacy measurement techniques should be designed to address the issue of participations in regulated dependants (and in unregulated dependants covered by principle IV.) and to ensure the treatment of minority and majority interests is prudentially sound.,-do-,,A. Capital Adequacy Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,38,1,Acceptable capital adequacy measurement techniques should be designed to address the issue of participations in regulated dependants and to ensure the treatment of minority and majority interests is prudentially sound.,-do-,Acceptable capital adequacy measurement techniques should designed address issue participations regulated dependants and ensure treatment minority and majority interests prudentially sound.,-do-,21,1
1.0,"In order to assist in ensuring that the regulated entities within financial conglomerates are operated prudently and soundly, fitness and propriety or other qualification tests should be applied to managers and directors of other entities in a conglomerate if they exercise a material or controlling influence on the operations of regulated entities.","Regulations take care to ensure that unregulated entities do not normally exercise material or controlling influence on operations of regulated entities. Where it is perceived that managers and directors of other entities in a conglomerate can exercise a material or controlling influence on the operations of a regulated entity, fitness or propriety or other qualification tests are applied.","In the absence of any clear guidelines or established practices on this issue, the approach adopted in this regard is not uniform. RBI may consider issuing suitable guidelines on the subject considering the emergence of conglomerates on the financial scene.",B. Fit and Proper Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,52,58,"In order to assist in ensuring that the regulated entities within financial conglomerates are operated prudently and soundly, fitness and propriety or other qualification tests should be applied to managers and directors of other entities in a conglomerate if they exercise a material or controlling influence on the operations of regulated entities.","Regulations take care to ensure that unregulated entities do not normally exercise material or controlling influence on operations of regulated entities. Where it is perceived that managers and directors of other entities in a conglomerate can exercise a material or controlling influence on the operations of a regulated entity, fitness or propriety or other qualification tests are applied.","In order assist ensuring that regulated entities within financial conglomerates operated prudently and soundly, fitness and propriety or other qualification tests should applied managers and directors other entities conglomerate if they exercise material or controlling influence on operations regulated entities.","Regulations take care ensure that unregulated entities do not normally exercise material or controlling influence on operations regulated entities. Where perceived that managers and directors other entities conglomerate can exercise material or controlling influence on operations regulated entity, fitness or propriety or other qualification tests applied.",40,46
2.0,"Shareholders whose holdings are above specified thresholds and/or who exert a material influence on regulated entities within that conglomerate should meet the fitness, propriety or other qualification tests of supervisors.","Fitness, propriety and other qualification tests are at present not applied to shareholders.","Shareholders with shareholding beyond a threshold, say 10 per cent, are often in a position to exert material influence on regulated entities. The regulator, however, does not, as a matter of uniform policy apply any fitness, propriety or qualification tests on all such shareholders. Considering the potential of risk contained in such a situation, it would be desirable to put in place arrangements for applying fit and proper tests on all shareholders with shareholdings beyond a specified threshold say 10 per cent. Suitable legal provisions would need to be introduced in the Banking Regulation Act empowering the RBI clearly in this regard.",B. Fit and Proper Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,30,13,"Shareholders whose holdings are above specified thresholds and/or who exert a material influence on regulated entities within that conglomerate should meet the fitness, propriety or other qualification tests of supervisors.","Fitness, propriety and other qualification tests are at present not applied to shareholders.","Shareholders whose holdings above specified thresholds and/or who exert material influence on regulated entities within that conglomerate should meet fitness, propriety or other qualification tests supervisors.","Fitness, propriety and other qualification tests present not applied shareholders.",26,10
3.0,"Fitness, propriety or other qualification tests should be applied at the authorisation stage and thereafter, on the occurrence of specified events.","Fitness, propriety and other qualification tests are normally applied at the authorisation stage. Thereafter, however, there are no specified events excepting changes in the top position, on the occurrence of which the tests will be applied.",,B. Fit and Proper Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,21,36,"Fitness, propriety or other qualification tests should be applied at the authorisation stage and thereafter, on the occurrence of specified events.","Fitness, propriety and other qualification tests are normally applied at the authorisation stage. Thereafter, however, there are no specified events excepting changes in the top position, on the occurrence of which the tests will be applied.","Fitness, propriety or other qualification tests should applied authorisation stage and thereafter, on occurrence specified events.","Fitness, propriety and other qualification tests normally applied authorisation stage. Thereafter, however, there no specified events excepting changes top position, on occurrence tests will applied.",16,25
4.0,"Supervisors’ expectations are that the entities will take the measures necessary to ensure that fitness, propriety or other qualification tests are met on a continuous basis.",We are in agreement with this view.,"Fitness, propriety or other qualification tests need to be applied on a continuous basis so that occurrence of any event which raises any doubt about fitness and propriety of a manager, director or a shareholder (with shareholding beyond a specified level), results in the test being applied.",B. Fit and Proper Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,26,7,"Supervisors’ expectations are that the entities will take the measures necessary to ensure that fitness, propriety or other qualification tests are met on a continuous basis.",We are in agreement with this view.,"Supervisors’ expectations that entities will take measures necessary ensure that fitness, propriety or other qualification tests met on continuous basis.",We agreement with this view.,20,5
5.0,"Where a manager or director deemed to exercise a material influence on the operations of a regulated entity is or has been a manager or director of another regulated entity within the conglomerate, the supervisor should endeavour to consult the supervisor of the other regulated entity as part of the assessment procedure.",Exchange of information between two supervisors about a manager or a director of a regulated entity who is deemed to exercise material influence on the operations of another regulated entity is only on case to case basis. The practice is as yet neither formalised nor universal.,-do-,B. Fit and Proper Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,52,46,"Where a manager or director deemed to exercise a material influence on the operations of a regulated entity is or has been a manager or director of another regulated entity within the conglomerate, the supervisor should endeavour to consult the supervisor of the other regulated entity as part of the assessment procedure.",Exchange of information between two supervisors about a manager or a director of a regulated entity who is deemed to exercise material influence on the operations of another regulated entity is only on case to case basis. The practice is as yet neither formalised nor universal.,"Where manager or director deemed exercise material influence on operations regulated entity or manager or director another regulated entity within conglomerate, supervisor should endeavour consult supervisor other regulated entity as part assessment procedure.",Exchange information between two supervisors about manager or director regulated entity who deemed exercise material influence on operations another regulated entity only on case case basis. The practice as yet neither formalised nor universal.,33,34
6.0,"Where a manager or director deemed to exercise a material influence on the operations of a regulated entity is or has been a manager or director of an unregulated entity within the conglomerate, the supervisor should endeavour to consult with the supervisors of other regulated entities that have dealing with the unregulated entity as part of the assessment procedure.",We are in agreement with this view.,-do-,B. Fit and Proper Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,59,7,"Where a manager or director deemed to exercise a material influence on the operations of a regulated entity is or has been a manager or director of an unregulated entity within the conglomerate, the supervisor should endeavour to consult with the supervisors of other regulated entities that have dealing with the unregulated entity as part of the assessment procedure.",We are in agreement with this view.,"Where manager or director deemed exercise material influence on operations regulated entity or manager or director unregulated entity within conglomerate, supervisor should endeavour consult with supervisors other regulated entities that have dealing with unregulated entity as part assessment procedure.",We agreement with this view.,39,5
7.0,"Supervisors should communicate with the supervisors of other regulated entities within the conglomerate when managers, directors or key shareholders are deemed not to meet their fitness, propriety or other qualification tests.",-do-,RBI may consider issuing specific and clear instructions in this regard. With most banks going for insurance business such exchange of information between regulators regarding directors/managers would be essential.,B. Fit and Proper Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,31,1,"Supervisors should communicate with the supervisors of other regulated entities within the conglomerate when managers, directors or key shareholders are deemed not to meet their fitness, propriety or other qualification tests.",-do-,"Supervisors should communicate with supervisors other regulated entities within conglomerate when managers, directors or key shareholders deemed not meet their fitness, propriety or other qualification tests.",-do-,26,1
1.0,"Sufficient information should be available to each supervisor, reflecting the legal and regulatory regime and the supervisor’s objectives and approaches, to effectively supervise the regulated entities residing within the conglomerate.",Supervisors are armed with sufficient legal powers to call for any information that it may require in the exercise of their supervisory functions.,Arrangements should be formalised for exchange of information between all regulators involved in regulation of different entities in a conglomerate.,C. Principles for Supervisory Information Sharing Paper – Guiding Principles,Supervision of Financial Conglomerates,30,23,"Sufficient information should be available to each supervisor, reflecting the legal and regulatory regime and the supervisor’s objectives and approaches, to effectively supervise the regulated entities residing within the conglomerate.",Supervisors are armed with sufficient legal powers to call for any information that it may require in the exercise of their supervisory functions.,"Sufficient information should available each supervisor, reflecting legal and regulatory regime and supervisor’s objectives and approaches, effectively supervise regulated entities residing within conglomerate.",Supervisors armed with sufficient legal powers call any information that may require exercise their supervisory functions.,23,16
2.0,Supervisors should be proactive in raising material issues and concerns with other supervisors. Supervisors should respond in a timely and satisfactory manner when such issues and concerns are raised with them.,We are in agreement with the view.,-do-,C. Principles for Supervisory Information Sharing Paper – Guiding Principles,Supervision of Financial Conglomerates,31,7,Supervisors should be proactive in raising material issues and concerns with other supervisors. Supervisors should respond in a timely and satisfactory manner when such issues and concerns are raised with them.,We are in agreement with the view.,Supervisors should proactive raising material issues and concerns with other supervisors. Supervisors should respond timely and satisfactory manner when issues and concerns raised with them.,We agreement with view.,25,4
