Principle number,Principle,Indian Position,Remarks,Sub-heading,Topic,number_of_words_Principle,number_of_words_Indian_Position,Pattern_Removed_Principle,Pattern_Removed_Indian_Position,number_of_words_pattern_removed_Principle,number_of_words_pattern_removed_Indian_Position
2.4.7.1,"As with credit risk, an institution should provide both quantitative and qualitative information regarding its market risk exposures. Market risk arises from the potential for changes in market rates and prices, including interest rates, foreign exchange rates, and equity and commodity prices. An institution’s disclosures about each of these types of risk should be commensurate with the degree of exposure.","At present, except for depreciation in the value of investments arising out of interest rate risk, and equity price risk, the impact of interest rate risk on bank’s NIM or impact of foreign exchange risk on unhedged exposures are not disclosed.",Disclosures in these areas may be prescribed.,2.0 Details in disclosure 2.4.7 Market risk,Enhancing Bank Transparency,60,41,"As with credit risk, an institution should provide both quantitative and qualitative information regarding its market risk exposures. Market risk arises from the potential for changes in market rates and prices, including interest rates, foreign exchange rates, and equity and commodity prices. An institution’s disclosures about each of these types of risk should be commensurate with the degree of exposure.","At present, except for depreciation in the value of investments arising out of interest rate risk, and equity price risk, the impact of interest rate risk on bank’s NIM or impact of foreign exchange risk on unhedged exposures are not disclosed.",60,41
2.4.7.2,"Since interest rate risk is especially relevant to banks, management should provide detailed quantitative information about the nature and extent of interest rate-sensitive assets and liabilities and off-balance sheet exposures. Examples of useful disclosures for the banking book include breakdowns of fixed and floating rate items and the net interest margin earned. Other useful disclosures include the duration and effective interest rates of assets and liabilities. These disclosures should also identify assets and liabilities, and related gains and losses.",Such detailed information on interest rate risk and the extent of interest rate – sensitive assets and liabilities and off-balance sheet exposures are not furnished since ALM and other Bank Risk Management tools are just in their infancy in India.,A beginning can be made by presenting of quantitative information about the nature and extent of interest rate sensitive assets and liabilities.,2.0 Details in disclosure 2.4.7 Market risk,Enhancing Bank Transparency,79,40,"Since interest rate risk is especially relevant to banks, management should provide detailed quantitative information about the nature and extent of interest rate-sensitive assets and liabilities and off-balance sheet exposures. Examples of useful disclosures for the banking book include breakdowns of fixed and floating rate items and the net interest margin earned. Other useful disclosures include the duration and effective interest rates of assets and liabilities. These disclosures should also identify assets and liabilities, and related gains and losses.",Such detailed information on interest rate risk and the extent of interest rate – sensitive assets and liabilities and off-balance sheet exposures are not furnished since ALM and other Bank Risk Management tools are just in their infancy in India.,79,40
2.4.7.3,"Disclosures should also provide information about the interest rate sensitivity of an institution’s assets and liabilities. For example, disclosures about the effect on the value of assets, liabilities and economic equity given a specific change (increase or decrease) in interest rates can provide a useful summary measure of the institution’s risk exposure.",Do,Do,2.0 Details in disclosure 2.4.7 Market risk,Enhancing Bank Transparency,52,1,"Disclosures should also provide information about the interest rate sensitivity of an institution’s assets and liabilities. For example, disclosures about the effect on the value of assets, liabilities and economic equity given a specific change in interest rates can provide a useful summary measure of the institution’s risk exposure.",Do,49,1
2.4.7.4,"To facilitate understanding of foreign exchange risk exposures, institutions should provide summarised data for significant concentrations of foreign exchange exposure by currency, broken down by hedged and unhedged exposures.","Summarised data for significant concentrations of foreign exchange exposure by currency, broken down by hedged and unhedged exposures are not provided now.",This should be prescribed.,2.0 Details in disclosure 2.4.7 Market risk,Enhancing Bank Transparency,29,22,"To facilitate understanding of foreign exchange risk exposures, institutions should provide summarised data for significant concentrations of foreign exchange exposure by currency, broken down by hedged and unhedged exposures.","Summarised data for significant concentrations of foreign exchange exposure by currency, broken down by hedged and unhedged exposures are not provided now.",29,22
2.4.7.5,"It is also helpful to disclose information about investments in foreign subsidiaries (foreign currency translation risk). This quantitative information should be supplemented with discussion about the nature of the currency exposure, how that exposure has changed from year to year, foreign exchange translation effects, the earnings impact of foreign exchange transactions and the effectiveness of risk management (hedging) strategies.","Detailed information on investments in foreign subsidiaries (Translation Risk) or foreign exchange transactions risk, the earnings impact of foreign exchange transactions and effectiveness of hedging strategies are not furnished.",,2.0 Details in disclosure 2.4.7 Market risk,Enhancing Bank Transparency,59,29,"It is also helpful to disclose information about investments in foreign subsidiaries. This quantitative information should be supplemented with discussion about the nature of the currency exposure, how that exposure has changed from year to year, foreign exchange translation effects, the earnings impact of foreign exchange transactions and the effectiveness of risk management strategies.","Detailed information on investments in foreign subsidiaries or foreign exchange transactions risk, the earnings impact of foreign exchange transactions and effectiveness of hedging strategies are not furnished.",54,27
2.4.7.6,"For larger institutions, ' value-at-risk' (VAR) or 'earnings-at-risk' (EAR) disclosures can provide summarised data about a market risk exposure. Typically, VAR and EAR disclosures are provided for interest rate and foreign exchange risk, but these models could also be used to summarise equity and commodity risk exposures.",Disclosures on 'Value at Risk' (VAR) and 'Earnings at Risk' (EAR) are currently not provided. Banks should be encouraged to disclose this information on a voluntary basis to start with.,"While these disclosures will have to be finally prescribed, in most cases banks have yet to gain experience in risk measurement. To be able to use models for this purpose efficiently they will need at least two years in case of larger banks and even more in case of smaller ones. RBI may consider a time frame of 3-4 years for prescribing these disclosures in the balance sheet. To begin with VaR and Ear may be prescribed in selected areas of activity, e.g., foreign exchange, treasury activities and investments.",2.0 Details in disclosure 2.4.7 Market risk,Enhancing Bank Transparency,47,30,"For larger institutions, ' value-at-risk' or 'earnings-at-risk' disclosures can provide summarised data about a market risk exposure. Typically, VAR and EAR disclosures are provided for interest rate and foreign exchange risk, but these models could also be used to summarise equity and commodity risk exposures.",Disclosures on 'Value at Risk' and 'Earnings at Risk' are currently not provided. Banks should be encouraged to disclose this information on a voluntary basis to start with.,45,28
2.4.7.7,"Specific disclosures relating to these models include the magnitude of the exposure on a daily, weekly or monthly basis, maximum and minimum values, and end-of-period values. To help the user understand such model-generated information, the assumptions used in calculations (e.g., confidence level, holding period, etc.) should also be disclosed. In addition, a histogram of the daily profits or exposures over the reporting period may facilitate an understanding of the volatility of risk exposures.",nan,,2.0 Details in disclosure 2.4.7 Market risk,Enhancing Bank Transparency,73,1,"Specific disclosures relating to these models include the magnitude of the exposure on a daily, weekly or monthly basis, maximum and minimum values, and end-of-period values. To help the user understand such model-generated information, the assumptions used in calculations should also be disclosed. In addition, a histogram of the daily profits or exposures over the reporting period may facilitate an understanding of the volatility of risk exposures.",nan,67,1
2.4.8.1,"Liquidity is the ability to have funds available to meet the commitments of the bank. To enable market participants to understand an institution’s liquidity risk exposure, an institution should provide information about its available liquid assets, as well as its sources and uses of funds. For example, disclosures about short-term assets (e.g., cash and cash equivalents, repurchase agreements and interbank loans) and short-term liabilities (e.g., reverse repurchase agreements, commercial paper) provide basic information about an institution’s liquidity profile. A cash flow statement shows the sources and uses of funds and provides an indication of an institution’s ability to generate liquid assets internally. Information about concentrations of depositors and other fund providers, maturity information about deposits and other liabilities, and the amount of securitised assets, are useful in assessing an institution’s liquidity.","Except for cash flow statement, detailed information on liquidity risk exposure is currently not being furnished. However, with the concept of ALM expected to stabilise in Indian banking in the ensuing years, detailed disclosures on liquidity risk exposure will be possible.","Being largely owned by the Government, Indian banks so far have had so serious concerns about liquidity. With the changing scenario, liquidity will become an issue. As more detailed statement of cash flow than at present (this statement is presently given in the balance sheet to meet the listing requirements of the stock exchange) showing sources and uses of funds should be prescribed for disclosures.",2.0 Details in disclosure 2.4.8 Liquidity risk,Enhancing Bank Transparency,131,41,"Liquidity is the ability to have funds available to meet the commitments of the bank. To enable market participants to understand an institution’s liquidity risk exposure, an institution should provide information about its available liquid assets, as well as its sources and uses of funds. For example, disclosures about short-term assets and short-term liabilities provide basic information about an institution’s liquidity profile. A cash flow statement shows the sources and uses of funds and provides an indication of an institution’s ability to generate liquid assets internally. Information about concentrations of depositors and other fund providers, maturity information about deposits and other liabilities, and the amount of securitised assets, are useful in assessing an institution’s liquidity.","Except for cash flow statement, detailed information on liquidity risk exposure is currently not being furnished. However, with the concept of ALM expected to stabilise in Indian banking in the ensuing years, detailed disclosures on liquidity risk exposure will be possible.",115,41
2.4.8.2,Descriptive discussion about the diversity of funding options and contingency plans provides additional perspective on the potential impact of liquidity risk to the institution.,Details about the diversity of funding options and contingency plan are also not provided.,This should form part of the management’s letter/ Director’s report on managing liquidity risks.,2.0 Details in disclosure 2.4.8 Liquidity risk,Enhancing Bank Transparency,24,14,Descriptive discussion about the diversity of funding options and contingency plans provides additional perspective on the potential impact of liquidity risk to the institution.,Details about the diversity of funding options and contingency plan are also not provided.,24,14
2.4.9.1,"Institutions should also provide disclosures about operational and legal risks. Operational risk disclosures should include information about the main types of such risk and should identify any specific problem (e.g., Year 2000) considered to be individually significant.",No such disclosures on operational and legal risks are made at present.,The ability of the accounting as well as internal control and management systems to support the growing size and diversity of the business is the main operational risk faced by banks. Increasing frauds and deficiencies in follow up are manifestation of this risk intensifying. A discussion in the management letter/ Director’s report on this issue along with a discussion on the sufficiency of technology used by the bank and fall back positions in the event of their failure may be prescribed. Details of transactions in nominal accounts pending reconciliation should also de disclosed.,2.0 Details in disclosure 2.4.9 Operational and legal risks,Enhancing Bank Transparency,37,12,Institutions should also provide disclosures about operational and legal risks. Operational risk disclosures should include information about the main types of such risk and should identify any specific problem considered to be individually significant.,No such disclosures on operational and legal risks are made at present.,34,12
2.4.9.2,Legal risk disclosures include legal contingencies (including pending legal actions) and a discussion and estimate of the potential liabilities. Qualitative information about how the bank manages and controls these risks should be given.,Note to the accounts in the disclosure on contingent liabilities carry details on pending legal action and estimate of potential liabilities.,,2.0 Details in disclosure 2.4.9 Operational and legal risks,Enhancing Bank Transparency,33,21,Legal risk disclosures include legal contingencies and a discussion and estimate of the potential liabilities. Qualitative information about how the bank manages and controls these risks should be given.,Note to the accounts in the disclosure on contingent liabilities carry details on pending legal action and estimate of potential liabilities.,29,21
2.5.1,"Market participants and supervisors need information about the accounting policies that have been employed in the preparation of financial reports. Accounting policies, practices and procedures differ not only between countries, but also between banks in the same country. Accordingly, users of accounting information need to understand how items are being measured to properly interpret the information. Disclosure of significant accounting policies on which financial reporting is based enables users to make reliable assessments of the bank’s reported position and performance.",Significant accounting policies are being disclosed.,,2.0 Details in disclosure 2.5 Accounting policies,Enhancing Bank Transparency,80,6,"Market participants and supervisors need information about the accounting policies that have been employed in the preparation of financial reports. Accounting policies, practices and procedures differ not only between countries, but also between banks in the same country. Accordingly, users of accounting information need to understand how items are being measured to properly interpret the information. Disclosure of significant accounting policies on which financial reporting is based enables users to make reliable assessments of the bank’s reported position and performance.",Significant accounting policies are being disclosed.,80,6
2.5.2,"Disclosure of accounting policies may be appropriate with respect to general accounting principles, changes in accounting policies/practices, principles of consolidation, policies and methods for determining when assets are impaired, recognising income on impaired assets and losses on non-performing credits, policies to establish specific and general loan loss allowances, income recognition, valuation policies (trading securities, investment securities, loans, tangible fixed assets, intangible fixed assets, liabilities, etc.), recognition/derecognition policies, securitisations, foreign currency translations, loan fees, premiums and discounts, repurchase agreements, securities lending, premises/fixed assets, income taxes, and derivatives (hedging, non-hedging, losses on derivatives).",Do,,2.0 Details in disclosure 2.5 Accounting policies,Enhancing Bank Transparency,91,1,"Disclosure of accounting policies may be appropriate with respect to general accounting principles, changes in accounting policies/practices, principles of consolidation, policies and methods for determining when assets are impaired, recognising income on impaired assets and losses on non-performing credits, policies to establish specific and general loan loss allowances, income recognition, valuation policies, recognition/derecognition policies, securitisations, foreign currency translations, loan fees, premiums and discounts, repurchase agreements, securities lending, premises/fixed assets, income taxes, and derivatives.",Do,73,1
2.6.1,"To accurately evaluate a bank’s disclosures about its financial position and financial performance and its risks and risk management strategies, market participants and supervisors need fundamental information about the bank’s business, management and corporate governance. Such information can help provide the appropriate perspective and context to understand a bank’s activities. For example, management’s discussion about the bank’s position in the markets in which it competes, its strategy and its progress towards achieving its strategic objectives is important for assessing the bank’s future prospects.","Directors’ or top management report in the annual report contain detailed information about the bank’s business management, its different activities, strategies and plans for the future. Discussion on corporate governance is also now forming part of these reports.",,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,83,38,"To accurately evaluate a bank’s disclosures about its financial position and financial performance and its risks and risk management strategies, market participants and supervisors need fundamental information about the bank’s business, management and corporate governance. Such information can help provide the appropriate perspective and context to understand a bank’s activities. For example, management’s discussion about the bank’s position in the markets in which it competes, its strategy and its progress towards achieving its strategic objectives is important for assessing the bank’s future prospects.","Directors’ or top management report in the annual report contain detailed information about the bank’s business management, its different activities, strategies and plans for the future. Discussion on corporate governance is also now forming part of these reports.",83,38
2.6.2,"The organisation of a bank, in terms of both its legal and management structure, provides information about an institution’s key activities and its ability to respond to changes in the marketplace. Further, such information may provide an indication of the institution’s efficiency and overall strength. Accordingly, it is appropriate to disclose information about the board structure (e.g., the size of the board, board committees, and membership), senior management structure (responsibilities, reporting lines), and the basic organisational structure (line of business structure, legal entity structure).","Recently, a beginning has been made by some banks in disclosing information about the broad structure with regard to Board Committees and membership, Senior Management structure with responsibilities and reporting lines and the basic organisational structure.",These disclosures should be prescribed for all banks uniformly.,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,84,36,"The organisation of a bank, in terms of both its legal and management structure, provides information about an institution’s key activities and its ability to respond to changes in the marketplace. Further, such information may provide an indication of the institution’s efficiency and overall strength. Accordingly, it is appropriate to disclose information about the board structure, senior management structure, and the basic organisational structure.","Recently, a beginning has been made by some banks in disclosing information about the broad structure with regard to Board Committees and membership, Senior Management structure with responsibilities and reporting lines and the basic organisational structure.",64,36
2.6.3,"In addition, information should be provided about the qualifications and experience of the board and senior executives. This information may be helpful in assessing how an institution may perform in times of stress or how it may react to changes in the economic or competitive environment.",Information on qualifications and experience of the board and senior executives are being furnished.,Do,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,46,14,"In addition, information should be provided about the qualifications and experience of the board and senior executives. This information may be helpful in assessing how an institution may perform in times of stress or how it may react to changes in the economic or competitive environment.",Information on qualifications and experience of the board and senior executives are being furnished.,46,14
2.6.4,"Information about the incentive structure within a bank, including its remuneration policies, such as the amount of executive compensation and the use of performance bonuses and stock options, helps evaluate the incentives management and staff have to take excessive risks.","Information on incentive structure within a bank, remuneration policies, the use of performance bonuses and stock options are not given.",Do,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,40,20,"Information about the incentive structure within a bank, including its remuneration policies, such as the amount of executive compensation and the use of performance bonuses and stock options, helps evaluate the incentives management and staff have to take excessive risks.","Information on incentive structure within a bank, remuneration policies, the use of performance bonuses and stock options are not given.",40,20
2.6.5,"Useful information may include a summary discussion of the philosophy and policy for executive and staff compensation, the role of the board of directors in setting compensation, and compensation amounts.","Summary discussion of the philosophy and policy of executive and staff compensation, the role of the board in setting compensation are not provided.",Do,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,30,23,"Useful information may include a summary discussion of the philosophy and policy for executive and staff compensation, the role of the board of directors in setting compensation, and compensation amounts.","Summary discussion of the philosophy and policy of executive and staff compensation, the role of the board in setting compensation are not provided.",30,23
2.6.6,"In addition, banks should provide information on the nature and extent of transactions with affiliates and related parties. Such information is useful in identifying relationships that may have a positive or negative impact on a bank’s financial position and performance. Further, it can help assess its susceptibility to the effects of affiliates on the bank’s financial performance (contagion risk).",Nature and extent of transactions with affiliates and related parties are not disclosed.,Do,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,59,13,"In addition, banks should provide information on the nature and extent of transactions with affiliates and related parties. Such information is useful in identifying relationships that may have a positive or negative impact on a bank’s financial position and performance. Further, it can help assess its susceptibility to the effects of affiliates on the bank’s financial performance.",Nature and extent of transactions with affiliates and related parties are not disclosed.,57,13
2.6.7,"Finally, institutions should consider providing general information that would help market participants and supervisors gain a broad understanding of the institution’s culture. As indicated previously, banks should be innovative in identifying the types of information they provide and the methods by which they provide such data.",General information on the institution’s culture is provided by some banks in the annual report as part of management discussion/ report.,Do,"2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,46,21,"Finally, institutions should consider providing general information that would help market participants and supervisors gain a broad understanding of the institution’s culture. As indicated previously, banks should be innovative in identifying the types of information they provide and the methods by which they provide such data.",General information on the institution’s culture is provided by some banks in the annual report as part of management discussion/ report.,46,21
2.6.8,"Supervisors and public policy makers should focus their efforts on promoting high-quality disclosure standards, taking into consideration the recommendations presented in this paper, and on developing mechanisms that ensure compliance with those standards.",RBI and government are very focussed in their efforts on promoting high quality disclosure standards.,"The progress shall have to be gradual but sustained. While there will be some key disclosures which must find place in balance sheet of all banks as prescribed by RBI, individual banks should be encouraged to make additional disclosures which they consider relevant to their business and balance sheet.","2.0 Details in disclosure 2.6 Basic business, management and corporate governance information",Enhancing Bank Transparency,33,15,"Supervisors and public policy makers should focus their efforts on promoting high-quality disclosure standards, taking into consideration the recommendations presented in this paper, and on developing mechanisms that ensure compliance with those standards.",RBI and government are very focussed in their efforts on promoting high quality disclosure standards.,33,15
1,Disclosures in a bank’s annual financial reports should be adapted to the size and nature of the bank’s operations in accordance with the materiality concept.,"As of now, the disclosure requirements are uniform irrespective of the size of banks’ operations.",,,Best Practices for Credit Risk Disclosure,25,15,Disclosures in a bank’s annual financial reports should be adapted to the size and nature of the bank’s operations in accordance with the materiality concept.,"As of now, the disclosure requirements are uniform irrespective of the size of banks’ operations.",25,15
2,"A bank should disclose information about the accounting policies, practices and methods it uses to account for its credit risk exposures.","Banks disclose information regarding the level of non-performing assets. These are required to be in compliance with the guidelines set out by the RBI. Banks are, however, free to adopt a more prudent approach, in which case, these do find mention in the balance sheets.",,,Best Practices for Credit Risk Disclosure,21,45,"A bank should disclose information about the accounting policies, practices and methods it uses to account for its credit risk exposures.","Banks disclose information regarding the level of non-performing assets. These are required to be in compliance with the guidelines set out by the RBI. Banks are, however, free to adopt a more prudent approach, in which case, these do find mention in the balance sheets.",21,45
3,"A bank should disclose information on the accounting policies and methods it uses to determine specific and general allowances, and it should explain the key assumptions it uses.","This is generally mandated by the regulator. The banks are, however, free to adopt a stricter policy in regard to methods it uses for determining allowances. A policy which deviates from the guideline given by the regulator is generally made public.",,,Best Practices for Credit Risk Disclosure,28,41,"A bank should disclose information on the accounting policies and methods it uses to determine specific and general allowances, and it should explain the key assumptions it uses.","This is generally mandated by the regulator. The banks are, however, free to adopt a stricter policy in regard to methods it uses for determining allowances. A policy which deviates from the guideline given by the regulator is generally made public.",28,41
4,A bank should disclose qualitative information about the nature of credit risk in its activities and describe how credit risk arises in those activities.,This is not being provided as of now.,,,Best Practices for Credit Risk Disclosure,24,8,A bank should disclose qualitative information about the nature of credit risk in its activities and describe how credit risk arises in those activities.,This is not being provided as of now.,24,8
5,"A bank should disclose information on the management, structure and organisation of its credit risk management function.",--do--,,,Best Practices for Credit Risk Disclosure,17,1,"A bank should disclose information on the management, structure and organisation of its credit risk management function.",--do--,17,1
6,A bank should disclose qualitative information on its credit risk management and control policies and practices.,--do--,,,Best Practices for Credit Risk Disclosure,16,1,A bank should disclose qualitative information on its credit risk management and control policies and practices.,--do--,16,1
7,A bank should disclose information on its techniques and methods for managing past due and impaired assets.,--do--,,,Best Practices for Credit Risk Disclosure,17,1,A bank should disclose information on its techniques and methods for managing past due and impaired assets.,--do--,17,1
8,A bank should provide information on its use of credit scoring and portfolio credit risk measurement models,--do--,,,Best Practices for Credit Risk Disclosure,17,1,A bank should provide information on its use of credit scoring and portfolio credit risk measurement models,--do--,17,1
9,"A bank should disclose balances of credit exposures, including current exposure and, where applicable, future potential exposure, by major categories.",--do--,,,Best Practices for Credit Risk Disclosure,20,1,"A bank should disclose balances of credit exposures, including current exposure and, where applicable, future potential exposure, by major categories.",--do--,20,1
10,A bank should disclose information about credit exposure by business line.,"Business line-wise exposure is not being disclosed. However, exposure to sensitive sectors such as real estate and capital markets are being disclosed. Banks also disclose the extent of lending to the priority sector.",,,Best Practices for Credit Risk Disclosure,11,33,A bank should disclose information about credit exposure by business line.,"Business line-wise exposure is not being disclosed. However, exposure to sensitive sectors such as real estate and capital markets are being disclosed. Banks also disclose the extent of lending to the priority sector.",11,33
11,A bank should disclose information about credit exposures by major categories of counterparties.,--do--,,,Best Practices for Credit Risk Disclosure,13,1,A bank should disclose information about credit exposures by major categories of counterparties.,--do--,13,1
12,A bank should disclose information about credit exposures by geographic areas.,--do--,,,Best Practices for Credit Risk Disclosure,11,1,A bank should disclose information about credit exposures by geographic areas.,--do--,11,1
13,A bank should disclose information about significant concentrations of credit risk.,--do--,,,Best Practices for Credit Risk Disclosure,11,1,A bank should disclose information about significant concentrations of credit risk.,--do--,11,1
14,"A bank should disclose the effect of credit risk mitigation techniques, including collateral, guarantees, credit insurance and legally enforceable netting arrangements.",--do--,,,Best Practices for Credit Risk Disclosure,21,1,"A bank should disclose the effect of credit risk mitigation techniques, including collateral, guarantees, credit insurance and legally enforceable netting arrangements.",--do--,21,1
15,A bank should disclose quantitative and qualitative information about its use of credit derivatives and other instruments that reallocate credit risk.,"Credit derivatives are yet to be introduced in the country. Information in respect of other credit mitigating instruments, such as securitisation, factoring and forfaiting, etc., are not disclosed in the balance sheets.",,,Best Practices for Credit Risk Disclosure,21,32,A bank should disclose quantitative and qualitative information about its use of credit derivatives and other instruments that reallocate credit risk.,"Credit derivatives are yet to be introduced in the country. Information in respect of other credit mitigating instruments, such as securitisation, factoring and forfaiting, etc., are not disclosed in the balance sheets.",21,32
16,A bank should disclose quantitative and qualitative information about its securitisation activities,"This is not being provided as of now. However, securitisation is yet to pick up in the country in a big way and, as such, its effect is negligible as of now.",,,Best Practices for Credit Risk Disclosure,12,32,A bank should disclose quantitative and qualitative information about its securitisation activities,"This is not being provided as of now. However, securitisation is yet to pick up in the country in a big way and, as such, its effect is negligible as of now.",12,32
17,A bank should disclose summary information about its contractual obligations with respect to recourse arrangements and the expected losses under those arrangements.,This is not being done as of now.,,,Best Practices for Credit Risk Disclosure,22,8,A bank should disclose summary information about its contractual obligations with respect to recourse arrangements and the expected losses under those arrangements.,This is not being done as of now.,22,8
18,A bank should provide summary of information about its internal rating process and the internal credit ratings of its credit exposures.,--do--,,,Best Practices for Credit Risk Disclosure,21,1,A bank should provide summary of information about its internal rating process and the internal credit ratings of its credit exposures.,--do--,21,1
19,A bank should disclose total credit exposures by major asset category showing impaired and past due amounts relating to each category.,Banks disclose information in regard to their gross and net NPA position and changes in NPAs and provisions made during the year in the notes on account to the balance sheet.,,,Best Practices for Credit Risk Disclosure,21,31,A bank should disclose total credit exposures by major asset category showing impaired and past due amounts relating to each category.,Banks disclose information in regard to their gross and net NPA position and changes in NPAs and provisions made during the year in the notes on account to the balance sheet.,21,31
20,"A bank should disclose the amounts of specific, general and other allowances. Where applicable, these allowances should be disclosed by major asset category.","While provisions made during the year are disclosed, these are not being classified by asset category. Cumulative provisions are not being disclosed.",,,Best Practices for Credit Risk Disclosure,23,22,"A bank should disclose the amounts of specific, general and other allowances. Where applicable, these allowances should be disclosed by major asset category.","While provisions made during the year are disclosed, these are not being classified by asset category. Cumulative provisions are not being disclosed.",23,22
21,A bank should disclose a reconciliation of changes in the allowances for credit impairment.,Banks disclose information in regard to their gross NPA position and changes in NPAs during the year and the amount of provisions held against the NPAs.,,,Best Practices for Credit Risk Disclosure,14,26,A bank should disclose a reconciliation of changes in the allowances for credit impairment.,Banks disclose information in regard to their gross NPA position and changes in NPAs during the year and the amount of provisions held against the NPAs.,14,26
22,A bank should disclose credit exposures on which the accrual of interest or other contractual cash flows – in accordance with the terms of the original agreement – has ceased because of deterioration in credit quality,"As per current instructions, interest cannot be accrued in respect of NPAs.",,,Best Practices for Credit Risk Disclosure,36,12,A bank should disclose credit exposures on which the accrual of interest or other contractual cash flows – in accordance with the terms of the original agreement – has ceased because of deterioration in credit quality,"As per current instructions, interest cannot be accrued in respect of NPAs.",36,12
23,A bank should disclose summary information about credit exposures that have been restructured during the year.,This is being disclosed.,,,Best Practices for Credit Risk Disclosure,16,4,A bank should disclose summary information about credit exposures that have been restructured during the year.,This is being disclosed.,16,4
24,"A bank should provide information on revenues, net earnings and return on assets.",This information is being disclosed.,,,Best Practices for Credit Risk Disclosure,13,5,"A bank should provide information on revenues, net earnings and return on assets.",This information is being disclosed.,13,5
I.,"Acceptable capital adequacy measurement techniques should be designed to detect and provide for situations of double gearing, i.e., where the same capital is used simultaneously as a buffer against risk in two or more legal entities; proceeds in the form of equity, which can result in excess leverage;","The capital invested in subsidiaries (where banks’ holding is more than 50 per cent) is deducted from the Tier-I capital of the bank to avoid double gearing. However, other investments which are below 50 per cent are not deducted from the investing bank’s capital.","Consolidation of accounts and presentation of consolidated financial results of all group entities is still not essential under the generally accepted principles of accounting in India. The emergence of financial conglomerates with regulated entities engaged to a significant extent in atleast two out of the three activities of banking, insurance and securities business is rather recent. Principles and systems for their regulation as entities in a conglomerate and for coordination between the concerned different regulators are also to be developed as yet. Urgent attention would need to be paid to develop suitable mechanisms.",A. Capital Adequacy Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,48,44,"Acceptable capital adequacy measurement techniques should be designed to detect and provide for situations of double gearing, i.e., where the same capital is used simultaneously as a buffer against risk in two or more legal entities; proceeds in the form of equity, which can result in excess leverage;","The capital invested in subsidiaries is deducted from the Tier-I capital of the bank to avoid double gearing. However, other investments which are below 50 per cent are not deducted from the investing bank’s capital.",48,35
II.,"Acceptable capital adequacy measurement techniques should be designed to Detect and provide for situations where a parent issues debt and downstream the proceeds in the form of equity, which can result in excessive leverage;","Such deduction would normally be possible by adopting group-wide capital adequacy measurement. In the absence of consolidated accounts, however, the effective leverage of a subsidiary (dependent) unit gets computed on solo basis only. Protection against the risk of excessive leverage is available on account of deduction of the parent body’s investment at face value from its regulatory capital.",,A. Capital Adequacy Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,34,58,"Acceptable capital adequacy measurement techniques should be designed to Detect and provide for situations where a parent issues debt and downstream the proceeds in the form of equity, which can result in excessive leverage;","Such deduction would normally be possible by adopting group-wide capital adequacy measurement. In the absence of consolidated accounts, however, the effective leverage of a subsidiary unit gets computed on solo basis only. Protection against the risk of excessive leverage is available on account of deduction of the parent body’s investment at face value from its regulatory capital.",34,57
III.,"Acceptable capital adequacy measurement techniques should be designed to include a mechanism to detect and provide for the effects of double, multiple or excessive gearing through unregulated intermediate holding companies which have participation in dependants or affiliates engaged in financial activities.",At present there is no case of an unregulated entity (of a financial conglomerate) acting as the holding company of a bank or other regulated entities.,,A. Capital Adequacy Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,41,26,"Acceptable capital adequacy measurement techniques should be designed to include a mechanism to detect and provide for the effects of double, multiple or excessive gearing through unregulated intermediate holding companies which have participation in dependants or affiliates engaged in financial activities.",At present there is no case of an unregulated entity acting as the holding company of a bank or other regulated entities.,41,22
IV.,"Acceptable capital adequacy measurement techniques should be designed to include a mechanism to address the risks being accepted by unregulated entities within a financial conglomerate that are carrying out activities similar to the activities of entities regulated for solvency purposes (e.g., leasing, factoring, reinsurance)",-do-,,A. Capital Adequacy Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,44,1,Acceptable capital adequacy measurement techniques should be designed to include a mechanism to address the risks being accepted by unregulated entities within a financial conglomerate that are carrying out activities similar to the activities of entities regulated for solvency purposes,-do-,40,1
V.,Acceptable capital adequacy measurement techniques should be designed to address the issue of participations in regulated dependants (and in unregulated dependants covered by principle IV.) and to ensure the treatment of minority and majority interests is prudentially sound.,-do-,,A. Capital Adequacy Principles Paper – Guiding Principles,Supervision of Financial Conglomerates,38,1,Acceptable capital adequacy measurement techniques should be designed to address the issue of participations in regulated dependants and to ensure the treatment of minority and majority interests is prudentially sound.,-do-,30,1
